domain,cohort,task,model,train_input,test_or_condition,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_seeds,n_bootstrap,source_file
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,aperiodic,accuracy,aperiodic,0.494287,0.470424,0.517601,"0.494 [0.470, 0.518]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,flattened,accuracy,flattened,0.303542,0.274191,0.333971,"0.304 [0.274, 0.334]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_aperiodic,accuracy,retention_aperiodic,0.684622,0.657138,0.712111,"0.685 [0.657, 0.712]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,retention_flattened,accuracy,retention_flattened,0.420428,0.380332,0.462732,"0.420 [0.380, 0.463]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_aperiodic,accuracy,drop_aperiodic,0.227698,0.206800,0.248733,"0.228 [0.207, 0.249]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,drop_flattened,accuracy,drop_flattened,0.418442,0.384980,0.452067,"0.418 [0.385, 0.452]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,baseline,balanced_accuracy,baseline,0.941192,0.932948,0.948541,"0.941 [0.933, 0.949]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,aperiodic,balanced_accuracy,aperiodic,0.875575,0.857233,0.892323,"0.876 [0.857, 0.892]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,flattened,balanced_accuracy,flattened,0.505841,0.502542,0.509955,"0.506 [0.503, 0.510]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.930283,0.913713,0.945365,"0.930 [0.914, 0.945]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_flattened,balanced_accuracy,retention_flattened,0.537448,0.531497,0.544815,"0.537 [0.531, 0.545]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.065617,0.051441,0.081089,"0.066 [0.051, 0.081]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_flattened,balanced_accuracy,drop_flattened,0.435350,0.425321,0.443960,"0.435 [0.425, 0.444]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,baseline,macro_f1,baseline,0.933433,0.924260,0.941922,"0.933 [0.924, 0.942]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,aperiodic,macro_f1,aperiodic,0.889333,0.871567,0.905405,"0.889 [0.872, 0.905]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,flattened,macro_f1,flattened,0.240520,0.224045,0.257524,"0.241 [0.224, 0.258]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_aperiodic,macro_f1,retention_aperiodic,0.952755,0.937123,0.967161,"0.953 [0.937, 0.967]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_flattened,macro_f1,retention_flattened,0.257673,0.239848,0.276008,"0.258 [0.240, 0.276]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_aperiodic,macro_f1,drop_aperiodic,0.044100,0.030623,0.058665,"0.044 [0.031, 0.059]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_flattened,macro_f1,drop_flattened,0.692913,0.673881,0.711401,"0.693 [0.674, 0.711]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,baseline,accuracy,baseline,0.948485,0.940478,0.955710,"0.948 [0.940, 0.956]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,aperiodic,accuracy,aperiodic,0.920612,0.906756,0.932830,"0.921 [0.907, 0.933]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,flattened,accuracy,flattened,0.314201,0.284914,0.343158,"0.314 [0.285, 0.343]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_aperiodic,accuracy,retention_aperiodic,0.970613,0.959841,0.980392,"0.971 [0.960, 0.980]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,retention_flattened,accuracy,retention_flattened,0.331267,0.300285,0.362070,"0.331 [0.300, 0.362]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_aperiodic,accuracy,drop_aperiodic,0.027873,0.018613,0.038047,"0.028 [0.019, 0.038]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,raw_cnn,,drop_flattened,accuracy,drop_flattened,0.634283,0.603764,0.664841,"0.634 [0.604, 0.665]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,baseline,balanced_accuracy,baseline,0.881034,0.853281,0.904777,"0.881 [0.853, 0.905]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,aperiodic,balanced_accuracy,aperiodic,0.871774,0.851453,0.889519,"0.872 [0.851, 0.890]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,flattened,balanced_accuracy,flattened,0.875147,0.855412,0.892041,"0.875 [0.855, 0.892]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.989490,0.967526,1.013981,"0.989 [0.968, 1.014]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_flattened,balanced_accuracy,retention_flattened,0.993318,0.975933,1.014834,"0.993 [0.976, 1.015]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.009259,-0.011979,0.029056,"0.009 [-0.012, 0.029]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_flattened,balanced_accuracy,drop_flattened,0.005887,-0.012778,0.021588,"0.006 [-0.013, 0.022]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,baseline,macro_f1,baseline,0.773338,0.741292,0.804455,"0.773 [0.741, 0.804]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,aperiodic,macro_f1,aperiodic,0.703126,0.675609,0.729929,"0.703 [0.676, 0.730]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,flattened,macro_f1,flattened,0.725826,0.694408,0.756722,"0.726 [0.694, 0.757]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_aperiodic,macro_f1,retention_aperiodic,0.909209,0.889110,0.931596,"0.909 [0.889, 0.932]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_flattened,macro_f1,retention_flattened,0.938562,0.919949,0.959338,"0.939 [0.920, 0.959]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_aperiodic,macro_f1,drop_aperiodic,0.070212,0.051968,0.087336,"0.070 [0.052, 0.087]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_flattened,macro_f1,drop_flattened,0.047512,0.031028,0.062220,"0.048 [0.031, 0.062]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,baseline,accuracy,baseline,0.921300,0.907228,0.934539,"0.921 [0.907, 0.935]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,aperiodic,accuracy,aperiodic,0.848075,0.823792,0.871014,"0.848 [0.824, 0.871]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,flattened,accuracy,flattened,0.870849,0.850080,0.890453,"0.871 [0.850, 0.890]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_aperiodic,accuracy,retention_aperiodic,0.920519,0.904890,0.934732,"0.921 [0.905, 0.935]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,retention_flattened,accuracy,retention_flattened,0.945240,0.932512,0.956835,"0.945 [0.933, 0.957]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_aperiodic,accuracy,drop_aperiodic,0.073226,0.060602,0.086863,"0.073 [0.061, 0.087]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,raw_cnn,,drop_flattened,accuracy,drop_flattened,0.050451,0.040021,0.061810,"0.050 [0.040, 0.062]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,raw_cnn,,baseline,balanced_accuracy,baseline,0.735168,0.715097,0.753849,"0.735 [0.715, 0.754]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,raw_cnn,,aperiodic,balanced_accuracy,aperiodic,0.648116,0.628248,0.666773,"0.648 [0.628, 0.667]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
