model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
deep4,imagined_left_vs_right_fist,macro_f1,sham,0.674614646324506,0.6531788779049399,0.69695336031419,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,aperiodic,0.6774051373501391,0.6562682393669212,0.6994730368307439,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,flattened,0.6845173471121455,0.660743618583013,0.7092374560886009,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,retention_aperiodic,1.0041364222387352,0.9927186653751652,1.0164085784519739,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,retention_flattened,1.0146790480188834,0.9968461277038325,1.0317180677341868,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
deep4,imagined_left_vs_right_fist,macro_f1,drop_aperiodic,-0.002790491025633113,-0.011031657178034275,0.004959786155404247,0.95,3,109,10000,seed,subject,0.7629,0.4742,7629,2371,10000
deep4,imagined_left_vs_right_fist,macro_f1,drop_flattened,-0.009902700787639551,-0.02138403422751393,0.002141862473169801,0.95,3,109,10000,seed,subject,0.9515,0.097,9515,485,10000
deep4,imagined_left_vs_right_fist,accuracy,baseline,0.6813672816087109,0.6605093518710128,0.7021844046916468,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,sham,0.6813672816087109,0.6605093518710128,0.7021844046916468,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,aperiodic,0.6831728914539144,0.6626571078562865,0.7041391386212723,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,flattened,0.6914788244822041,0.6689765059948534,0.7140621814475027,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,retention_aperiodic,1.0026499802587239,0.9918560205552276,1.0141160863431682,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,retention_flattened,1.014840076925355,0.9991362316682311,1.0299425688998387,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
deep4,imagined_left_vs_right_fist,accuracy,drop_aperiodic,-0.001805609845203504,-0.009582059123342885,0.005601292987821097,0.95,3,109,10000,seed,subject,0.6892,0.6218,6892,3109,10000
deep4,imagined_left_vs_right_fist,accuracy,drop_flattened,-0.010111542873493251,-0.02040080131521408,0.0005874203858280431,0.95,3,109,10000,seed,subject,0.9691,0.0618,9691,309,10000
