model,task,metric,estimate,baseline_input,aperiodic_input,flattened_input,point,ci_lower,ci_upper,ci,n_folds,n_bootstrap
deep_mlp,wake_vs_sleep,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.14754470737888004,0.13155140227068615,0.1682992407161909,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9295898025427256,0.8741666728693391,0.9743647660372503,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.16026144709028545,0.14269478142299732,0.18446175557347172,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.0648231509757311,0.023564925210885823,0.11650898115190422,0.95,5,10000
deep_mlp,wake_vs_sleep,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7731053307788232,0.7440808902923572,0.7914047311974326,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9512623710755825,0.9376257234684079,0.9604883219879751,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9302491648882777,0.9132228583706429,0.9472754714059123,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.17382608792356147,0.15305298965352918,0.20387865636711097,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9779101887909795,0.9563327936809706,0.9958680347486228,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.1827320129640134,0.16047511097150552,0.21699613570297505,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.021013206187304845,0.003897697094345398,0.04163607470773767,0.95,5,10000
deep_mlp,wake_vs_sleep,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7774362831520211,0.734975912477027,0.8043993759409902,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9026382444320211,0.8717684535425775,0.928643997104355,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8419805020099593,0.7847293740110176,0.8834755951186207,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5007148971313785,0.5,0.5021446913941354,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9327994988067116,0.9016662024288351,0.9559081782486757,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5547237780141366,0.5384194605888496,0.5760069538575137,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.06065774242206179,0.04044175809563055,0.08589549164529997,0.95,5,10000
deep_mlp,n2_vs_n3,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.4019233473006426,0.36962376214844206,0.42864399710435497,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8830138213506151,0.8561884576981763,0.9082469578072254,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8216144784971873,0.7677916789881268,0.8695168580437841,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2028771099442413,0.14873667107361208,0.2803825171866826,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.930466158774826,0.8848749629473873,0.972134015395404,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.22975530511394524,0.1637623663862371,0.3269607872299402,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.06139934285342785,0.024775831206339305,0.09856872791652183,0.95,5,10000
deep_mlp,n2_vs_n3,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6801367114063739,0.5782793177145021,0.7595102867336133,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9094351475569343,0.8709873299596189,0.9442968576504553,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8629535154000934,0.7928316552045338,0.9212510569876491,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.26373334030133005,0.17513218751601492,0.3925645207815648,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9488895582255567,0.9050707976009404,0.9861268215009579,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.28999686344849485,0.18546306290986572,0.45108084612664845,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.04648163215684098,0.012823199775648053,0.08543515866040197,0.95,5,10000
deep_mlp,n2_vs_n3,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6457018072556042,0.4777107838615984,0.7691646701344405,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7363051825527519,0.7045121620097055,0.7688601329793292,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5758619632663098,0.5271397580132083,0.6281485525693707,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2,0.2,0.2,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7820968491214615,0.7121253758297179,0.8591385447386806,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.27162650044999676,0.26012533544300315,0.2838843823923153,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.16044321928644212,0.10082554502951357,0.218057022406693,0.95,5,10000
deep_mlp,five_stage,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5363051825527518,0.5045121620097055,0.5688601329793292,0.95,5,10000
deep_mlp,five_stage,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7144601393970141,0.6850508412538966,0.7443945822175022,0.95,5,10000
deep_mlp,five_stage,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5165324501904893,0.46437612509748816,0.5686887752834905,0.95,5,10000
deep_mlp,five_stage,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.05901788295155199,0.05305782528112348,0.06748706254561283,0.95,5,10000
deep_mlp,five_stage,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7229688847672164,0.6421166152582988,0.817692480374423,0.95,5,10000
deep_mlp,five_stage,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.08260486442443318,0.07315468762419747,0.09230725725942727,0.95,5,10000
deep_mlp,five_stage,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.19792768920652482,0.12630199190102298,0.2619418503552324,0.95,5,10000
deep_mlp,five_stage,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6554422564454622,0.6285420802259769,0.6850827851560524,0.95,5,10000
deep_mlp,five_stage,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7588148137923967,0.7132556645711272,0.8043739630136664,0.95,5,10000
deep_mlp,five_stage,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.51707616125695,0.43806191436210823,0.5960904081517917,0.95,5,10000
deep_mlp,five_stage,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.17382608792356147,0.15305298965352918,0.20387865636711097,0.95,5,10000
deep_mlp,five_stage,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6814260236601236,0.5760160873033622,0.7873060076310602,0.95,5,10000
deep_mlp,five_stage,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.22907577021963407,0.19892911088225199,0.25797070948530926,0.95,5,10000
deep_mlp,five_stage,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.24173865253544669,0.16103630290351867,0.33690345305201486,0.95,5,10000
deep_mlp,five_stage,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5849887258688352,0.5435612440724327,0.6239906508801574,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,raw_eeg,raw_eeg,phase_aperiodic,phase_flattened,0.9574132482135169,0.9438302167633914,0.9708481368357811,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,phase_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.8934726432895184,0.8648428173826579,0.9274441497600645,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,phase_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.5377735427396907,0.5020925646419139,0.5944872727725531,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,retention_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.9332152494825945,0.9063739674647548,0.9594920228847944,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,retention_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.5616942775161593,0.5250753090322767,0.6196168040564536,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,drop_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.06394060492399856,0.03888674351561594,0.08939738858540358,0.95,5,10000
raw_cnn,wake_vs_sleep,balanced_accuracy,drop_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.41963970547382623,0.36325399040052886,0.45831868391968655,0.95,5,10000
